>
119.05 36.80 
119.15 36.78
119.20 36.76
119.25 36.75
119.30 36.76
119.33 36.78
119.34 36.79
>
119.085 36.90
119.13 36.91
119.18 36.91
119.23 36.90
119.33 36.86
119.336 36.84
119.34 36.79
>
118.36 36.50
118.54 36.37
118.55 36.42
118.55 36.56
118.60 36.60
118.65 36.65
118.68 36.68
118.70 36.68
118.73 36.68
118.76 36.67
118.80 36.66
118.85 36.72
118.90 36.72
118.92 36.72
118.95 36.71
118.97 36.70
118.99 36.68
119.10 36.64
119.15 36.64
119.20 36.65
119.25 36.70
119.30 36.72
119.35 36.76
119.40 36.78
#119.45 36.70
#119.50 36.65
#119.55 36.60
